ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
455739561,Photo,American Oystercatcher,Haematopus palliatus,,Federico Rubio,2022-05-31,2022,5,31,1505,Uruguay,UY-MA,Maldonado,,Virgen de la Candelaria,-34.9645028,-54.9403068,"",,Unspecified,"","",,,,,,,S111924573,"",,,,,Haematopus palliatus,ameoys,Species,5770,,4.97,379,,1866,2799
407928941,Photo,Snowy Plover,Anarhynchus nivosus,,Grigory Heaton,2022-01-17,2022,1,17,0,United States,US-CA-037,California,Los Angeles,Malibu Lagoon--State Beach including Lagoon,34.0333857,-118.6822987,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S101100004,"",,,,,Anarhynchus nivosus,snoplo5,Species,5907,,5.00,241,"",3650,5475
39404621,Photo,Pied Plover,Hoploxypterus cayanus,,Luke Seitz,2016-11-05,2016,11,5,1405,Guyana,GY-UT,Upper Takutu-Upper Essequibo,,River from Ginip Landing to Karanambu,3.9335640,-59.2724030,"",,Unspecified,"","",,,,,,,S32404935,"",,,,,Hoploxypterus cayanus,pielap1,Species,5794,,4.95,1454,,2694,5019
612812569,Photo,Peruvian Racket-tail,Ocreatus peruanus,,Daysy Vera Castro,2023-12-29,2023,12,29,1051,Ecuador,EC-S,Morona-Santiago,,Jacamar Haven,-3.1093990,-78.5438230,"",,Unspecified,"","",,,,,,,S157446398,"",,,,,Ocreatus peruanus,boorat2,Species,4659,,4.97,454,,3537,5413
182455611,Photo,Bluethroat,Luscinia svecica,,Bryan Calk,2019-06-24,2019,6,24,1129,United States,US-AK-180,Alaska,Nome Census Area,Nome-Teller Hwy (please use a more specific location),64.6344688,-165.7150269,Adult Male – 1,,Unspecified,"","",,,,,,,S57676753,"",,,,,Luscinia svecica,blueth,Species,28907,,4.97,480,,2174,3865
63333271,Photo,Boreal Owl,Aegolius funereus,,Christoph Moning,2010-05-08,2010,5,8,0,Germany,DE-BY-REG,Bayern,Regen,east of Kohlschachten,49.0344834,13.3992004,Adult Male,,Unspecified,"","",,,,,,,S28712874,"",,,,,Aegolius funereus,borowl,Species,9088,,4.95,1067,,2911,4362
217837161,Photo,Anhinga,Anhinga anhinga,,Scott Martin,2020-03-01,2020,3,1,715,United States,US-FL-095,Florida,Orange,Orlando Wetlands Park,28.5700783,-80.9963373,"",,Unspecified,"","",,,,,,,S66182496,"",,,,,Anhinga anhinga,anhing,Species,7195,,4.98,282,,2474,3706
168467241,Photo,Agami Heron,Agamia agami,,Andrés Posada,2019-07-09,2019,7,9,645,Colombia,CO-COR,Córdoba,,Vereda Caño Grande,9.3562553,-75.9323716,"",,Unspecified,"","",,,,,,,S58228079,"",,,,Colonia reproductiva tradicional,Agamia agami,agaher1,Species,7329,,4.95,681,,,
162041181,Photo,Black-throated Green Warbler,Setophaga virens,,"Ronnie d'Entremont",2019-05-31,2019,5,31,1600,Canada,CA-NS-YA,Nova Scotia,Yarmouth,Gerry Lane,43.8132772,-66.1588472,"",,Unspecified,"","",,,,,,,S56951065,"",,,,,Setophaga virens,btnwar,Species,33675,,4.99,248,,2523,3567
57253311,Photo,Black-and-white Warbler,Mniotilta varia,,Ryan Schain,2017-05-06,2017,5,6,726,United States,US-MA-027,Massachusetts,Worcester,Newton Hill,42.2672026,-71.8215939,"",,Unspecified,"","",,,,,,,S36585913,"",,,,,Mniotilta varia,bawwar,Species,33435,,4.94,1252,,2400,4128
406888001,Photo,Blue-naped Chlorophonia,Chlorophonia cyanea,,Phil Chaon,2022-01-15,2022,1,15,1101,Colombia,CO-MAG,Magdalena,,RNA Proaves El Dorado--Lodge,11.1007938,-74.0721631,"",,Unspecified,"","",,,,,,,S100856836,"",,,,,Chlorophonia cyanea,blnchl1,Species,31467,,4.99,247,,2764,4147
463829651,Photo,"Buller's Albatross",Thalassarche bulleri,,JJ Harrison,2022-06-25,2022,6,25,712,Australia,AU-TAS-TAS,Tasmania,Tasman,Eaglehawk Neck Pelagic Trip,-43.0906763,148.3212687,"",Flying,Unspecified,"","",,,,,,,S114126442,"",,,,,Thalassarche bulleri,bulalb2,Species,6837,,4.95,595,"",2227,3341
162729421,Photo,Piping Plover,Charadrius melodus,,Kyle Tansley,2019-06-01,2019,6,1,601,United States,US-MA-025,Massachusetts,Suffolk,Winthrop Beach and Five Sisters,42.3747938,-70.9681878,Juvenile,,Unspecified,"","",,,,,,,S56959083,"",,,Mom brooding 3 chicks,"11 babies 3m adults 3f adults. One brood of 2, one of 5, one of 4. Dilligent count multiple times. Photos coming.",Charadrius melodus,pipplo,Species,5807,,4.97,368,,2406,3609
603005041,Photo,Orange Dove,Ptilinopus victor,,Chris Venetz | Ornis Birding Expeditions,2023-07-10,2023,7,10,630,Fiji,FJ-N,Northern,,Taveuni--Des Voeux Peak,-16.8433277,-179.9657309,"",,Unspecified,"","",,,,,,,S147142202,"",,,,,Ptilinopus victor,oradov1,Species,2730,,4.99,245,,1366,2048
136518591,Photo,Brassy-breasted Tanager,Tangara desmaresti,,Ian Davies,2018-12-25,2018,12,25,1328,Brazil,BR-RJ,Rio de Janeiro,,"Mountain Chalets, Nova Friburgo",-22.3695510,-42.5337850,"",,Unspecified,"","",,,,,,,S50970014,"",,,,,Tangara desmaresti,brbtan1,Species,34527,,5.00,217,,1731,2830
225986131,Photo,Pigeon Guillemot,Cepphus columba,,Dorian Anderson,2020-04-15,2020,4,15,700,United States,US-CA-081,California,San Mateo,Pillar Point Harbor,37.5033407,-122.4819213,"",,Unspecified,"","",,,,,,,S67386335,"",,,,,Cepphus columba,piggui,Species,6364,,4.96,608,,3361,5041
301398651,Photo,Limpkin,Aramus guarauna,,Melissa James,2017-05-28,2017,5,28,730,United States,US-FL-115,Florida,Sarasota,Myakka River SP,27.2405033,-82.3148167,"",Feeding Young,Unspecified,"","",,,,,,,S37218330,"",,,,,Aramus guarauna,limpki,Species,5642,,4.96,469,"",3207,4810
405469641,Photo,Iceland Gull,Larus glaucoides,,Brian Stahls,2022-01-13,2022,1,13,1330,Canada,CA-ON-TO,Ontario,Toronto,"Toronto--Ashbridge's Bay Park",43.6599861,-79.3093553,"",,Unspecified,"","",,,,,,,S100685071,"",,,,,Larus glaucoides,y00478,Species,6553,,4.96,448,,2441,3662
383974041,Photo,Long-billed Curlew,Numenius americanus,,Ryan Sanderson,2021-10-01,2021,10,1,632,United States,US-CA-073,California,San Diego,Tijuana River mouth & beach,32.5656857,-117.1328157,"",,Unspecified,"","",,,,,,,S95429893,"",,,,,Numenius americanus,lobcur,Species,5988,,4.96,493,,4413,6616
425510611,Photo,Eastern Screech-Owl,Megascops asio,,Jack Starret,2022-03-15,2022,3,15,1320,Canada,CA-ON-SC,Ontario,Simcoe,Collingwood (Not Exact Location),44.4989570,-80.2166150,"Adult Female – 1; Adult Male – 1","",Unspecified,"","",,,,,,,S104884026,"",,,"Amazing to see a Red and Grey Morph roosted together, Bucket List sighting! They were both awake and alert before we arrived.   Canon 5D Mark IV - Canon EF 100-400mm f/4.5-5.6L IS II USM + Canon 1.4x Extender. Shot at 540mm with minimal crop. ","Same Individual from earlier perched in the same hole as before. Accompanied this time, by a Red morph right by its side. Snapped a few shots and went on my way to the grocery store, when we passed by at 1:55pm the grey morph was still present but Red Morph had left the opening.  (Only the second sighting of the Grey Morph since 02/27/22, First we've ever seen the Red Morph)",Megascops asio,easowl1,Species,8664,,4.95,651,Habitat,3473,5209
100808211,Photo,Blue-winged Warbler,Vermivora cyanoptera,,Luke Seitz,2018-05-16,2018,5,16,707,United States,US-NY-109,New York,Tompkins,Lindsay-Parsons Biodiversity Preserve (FLLT),42.3101677,-76.5216895,"",,Unspecified,"","",,,,,,,S45747074,"",,,,,Vermivora cyanoptera,buwwar,Species,33430,,4.99,224,,3288,4895
360083321,Photo,Greater Painted-Snipe,Rostratula benghalensis,,Sin-Syue Li,2021-08-08,2021,8,8,830,Taiwan,TW-TNN,Tainan City,,台南北門IBA--溪底寮(Beimen IBA--Xidiliao),23.2336500,120.1248000,"Adult Female – 1; Adult Male – 1","Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S92996552,"",,,,,Rostratula benghalensis,grpsni1,Species,5947,,4.97,374,"",1200,1920
448672911,Photo,Cerulean Warbler,Setophaga cerulea,,Joley Sullivan,2022-05-14,2022,5,14,1406,United States,US-VA-061,Virginia,Fauquier,G.R. Thompson WMA--Trillium Trail,38.9536926,-78.0267139,"",,Unspecified,"","",,,,,,,S110086356,"",,,,,Setophaga cerulea,cerwar,Species,33532,,4.97,316,,2232,3675
589261291,Photo,North Island Brown Kiwi,Apteryx mantelli,,Tara Swan,2023-05-31,2023,5,31,820,New Zealand,NZ-MWT-041,Manawatu-Wanganui,Tararua District,Pūkaha Mt Bruce National Wildlife Centre (Wild Birds Only),-40.7216447,175.6404915,"",,Unspecified,"","",,,,,,,S142990324,"",,,,,Apteryx mantelli,nibkiw1,Species,217,,4.98,298,,3378,5068
314893531,Photo,Boreal Chickadee,Poecile hudsonicus,,Blair Dudeck,2021-03-07,2021,3,7,732,Canada,CA-NL-ON,Newfoundland and Labrador,"Avalon Peninsula-St. John's","St. John's--Bowring Park",47.5278631,-52.7467354,"",,Unspecified,"","",,,,,,,S83032579,"",,,,,Poecile hudsonicus,borchi2,Species,21710,,4.96,433,,2915,4373
43164261,Photo,Eurasian Dotterel,Eudromias morinellus,,Ian Davies,2015-06-18,2015,6,18,1740,Finland,FI-10,Lapland,,Utsjoki--Ailigas,69.8961647,27.0593262,"",,Unspecified,"","",,,,,,,S23962633,"",,,,"Pair, single bird in flight song, and confiding male that approached within 4m",Eudromias morinellus,eurdot,Species,5797,,4.94,904,,3097,4816
175078971,Photo,Red-throated Loon,Gavia stellata,,Bryan Calk,2019-06-20,2019,6,20,1100,United States,US-AK-020,Alaska,Anchorage Municipality,Lake Hood & Lake Spenard,61.1787982,-149.9607182,"",,Unspecified,"","",,,,,,,S59378691,"",,,,,Gavia stellata,retloo,Species,6768,,4.94,889,,3032,5391
84730861,Photo,Coal Tit (Black-crested),Periparus ater melanolophus,,Abhishek Das,2015-11-22,2015,11,22,830,India,IN-HP-SH,Himachal Pradesh,Shimla,"Hatu Peak, Narkanda",31.2484238,77.4959278,"",,Unspecified,"","",,,,,,,S42508562,"",,,,,Periparus ater,bkctit2,Group,21581,,4.94,1078,,3072,4978
309666411,Photo,Sandhill Crane,Antigone canadensis,,Matt Felperin,2020-03-04,2020,3,4,1724,United States,US-FL-103,Florida,Pinellas,Brooker Creek Preserve & Surrounding Areas,28.1439001,-82.6609078,"Adult Female – 1; Adult Male – 1; Juvenile – 1","Feeding Young; Foraging or Eating",Unspecified,"","",,,,,,,S65438272,"",,,"Colt had just jumped in the most adorable fashion, would have been an even more incredible shot!","2 adults 1 colt, adults constantly probing ground for insect larvae and feeding young. Laid prone (part of the time on a fire ant nest) and they were comfortable enough to approach fairly close to me.",Antigone canadensis,sancra,Species,5671,,4.95,596,"",2727,4090
299580921,Photo,Red-whiskered Bulbul,Pycnonotus jocosus,,Natthaphat Chotjuckdikul,,,,,,Thailand,TH-50,Chiang Mai,,,,,"",Foraging or Eating,Unspecified,"","",,,,,,,,"",,,,,Pycnonotus jocosus,rewbul,Species,24315,,4.98,248,Habitat,1600,2400
613014934,Photo,King Eider,Somateria spectabilis,,Cesar Ponce,2024-01-02,2024,1,2,1142,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,Female – 1,Foraging or Eating,Unspecified,"","",,,,,,,S157890355,"",,,,"Female found by Raspberry earlier in the morning. Brown duck with black bill with a particular shape that makes it look like she is smiling. Saw her eat several crawfish in the marina, sometimes up close. Photos.",Somateria spectabilis,kineid,Species,674,,4.97,346,"",1865,2797
344259701,Photo,Southern Fulmar,Fulmarus glacialoides,,Anonymous,2021-05-27,2021,5,27,820,Australia,AU-TAS-TAS,Tasmania,Tasman,Eaglehawk Neck Pelagic Trip,-43.0906763,148.3212687,"",,Unspecified,"","",,,,,,,S89056121,"",,,,"All around the back of the boat, possibly were more.",Fulmarus glacialoides,souful1,Species,6933,,4.95,635,,3002,4504
40937361,Photo,Prairie Warbler,Setophaga discolor,,Ryan Schain,2012-05-28,2012,5,28,505,United States,US-MA-005,Massachusetts,Bristol,Freetown State Forest and Southeastern MA Bioreserve,41.7510000,-71.0310000,"",,Unspecified,"","",,,,,,,S10857604,"",,,,"Singing birds in powerline cuts and clearings;",Setophaga discolor,prawar,Species,33643,,4.94,754,,1852,2800
431207331,Photo,Tufted Tit-Tyrant,Anairetes parulus,,Mason Maron,2022-04-02,2022,4,2,1059,Chile,CL-MA-TOR,Magallanes,Torres del Paine,Arroyo Picana--Ruta 9,-51.3563461,-72.4348644,"",,Unspecified,"","",,,,,,,S106125479,"",,,,,Anairetes parulus,tuttyr1,Species,16299,,4.99,221,,2242,3587
534030941,Photo,Harlequin Duck,Histrionicus histrionicus,,Josh Cooper,2023-02-11,2023,2,11,644,United States,US-NJ-029,New Jersey,Ocean,Barnegat Lighthouse SP,39.7633333,-74.1058333,"",,Unspecified,"","",,,,,,,S128060321,"",,,,,Histrionicus histrionicus,harduc,Species,687,,4.96,386,,1711,2467
178612671,Photo,Masked Booby,Sula dactylatra,,Tyler Smith,2019-09-21,2019,9,21,1850,United States,US-FL-033,Florida,Escambia,Pensacola Pier,30.3298991,-87.1394188,"",,Unspecified,"","",,,,,,,S60068550,"",,,,"Seen next lifeguard tower just west of the pier.  Appeared tired, tolerated people and crowds well.",Sula dactylatra,masboo,Species,7177,,4.95,476,,1333,2000
80972851,Photo,Sword-billed Hummingbird,Ensifera ensifera,,Dorian Anderson,2017-12-17,2017,12,17,1300,Ecuador,EC-P,Pichincha,,Reserva Yanacocha,-0.1117522,-78.5846968,"",,Unspecified,"","",,,,,,,S41165642,"",,,,,Ensifera ensifera,swbhum1,Species,4642,,4.95,590,,1200,1800
557328921,Photo,Northern Mockingbird,Mimus polyglottos,,Derek Lecy,2023-04-13,2023,4,13,1021,United States,US-CA-041,California,Marin,"Marta's Marsh",37.9256156,-122.5030729,"",,Unspecified,"","",,,,,,,S133633237,"",,,"Leucistic Northern Mockingbird, 4/13/23.","The continuing leucistic stunner first reported on 4/10/23 by B. Keener, found at end of Echo Ave. Per one of the local homeowners, he has been seeing this individual in his backyard ""for weeks now."" Not a hard bird to find when it was out in the open, but it would occasionally tuck into Himalayan Blackberry and other ornamental shrubs, disappearing instantly. Predictably, it was not popular with the two other local NOMOs, and was chased aggressively quite often.",Mimus polyglottos,normoc,Species,27652,,4.96,362,,2066,3673
240408841,Photo,Barn Swallow,Hirundo rustica,,Ryan Sanderson,2020-05-27,2020,5,27,939,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,"",,Unspecified,"","",,,,,,,S69709661,"",,,,,Hirundo rustica,barswa,Species,23772,,4.97,290,,2037,3055
274833311,Photo,Barred Owl,Strix varia,,Paul Jones,2020-10-26,2020,10,26,1800,Canada,CA-ON-PE,Ontario,Prince Edward,Prince Edward Point  NWA--Prince Edward Point Bird Observatory,43.9391343,-76.8611455,"",,Unspecified,"","",,,,,,,S75466142,"",,,,,Strix varia,brdowl,Species,9011,,4.96,397,,2333,3500
524585861,Photo,Eastern Screech-Owl,Megascops asio,,Matt Zuro,2023-01-13,2023,1,13,1645,United States,US-IL-031,Illinois,Cook,"Westchester, not precise location.",41.8383113,-87.8933634,"",,Unspecified,"","",,,,,,,S126259658,"",,,,,Megascops asio,easowl1,Species,8664,,4.95,544,,5440,8160
536321001,Photo,Spotless Crake,Zapornia tabuensis,,JJ Harrison,2023-02-18,2023,2,18,622,Australia,AU-NSW-HAW,New South Wales,Hawkesbury,Pitt Town Lagoon,-33.5895983,150.8555031,"",,Unspecified,"","",,,,,,,S128629146,"",,,,,Zapornia tabuensis,spocra2,Species,5579,,5.00,178,,2906,4359
27326981,Photo,Buff-breasted Sandpiper,Calidris subruficollis,,Ian Davies,2012-06-16,2012,6,16,0,United States,US-AK-185,Alaska,North Slope Borough,Arctic NWR--Canning River Delta,70.1179003,-145.8491179,Adult Male,,Unspecified,"","",,,,,,,S11130994,"",,,,,Calidris subruficollis,bubsan,Species,6152,,4.96,345,,3752,5544
325708721,Photo,Cirl Bunting,Emberiza cirlus,,Ben  Lucking,2021-03-29,2021,3,29,645,United Kingdom,GB-ENG-DEV,England,Devon,Dawlish Warren NNR,50.6078473,-3.4375727,Adult Male – 1,Vocalizing,Unspecified,"","",,,,,,,S84320129,"",,,,,Emberiza cirlus,cirbun1,Species,32202,,4.96,365,"",1843,2764
344426191,Photo,Red-necked Grebe,Podiceps grisegena,,Tyler Ficker,2021-05-23,2021,5,23,1304,United States,US-ND-043,North Dakota,Kidder,Dewald Slough--31st Ave. & 44th St.,46.7793112,-99.8041326,"Adult Female – 1; Adult Male – 1",,Unspecified,"","",,,,,,,S88872006,"",,,,,Podiceps grisegena,rengre,Species,1845,,4.96,334,,1591,2384
448917221,Photo,Iiwi,Drepanis coccinea,,Phil Chaon,2022-03-14,2022,3,14,1500,United States,US-HI-009,Hawaii,Maui,Haleakala NP--Hosmer Grove,20.7684183,-156.2365883,"",,Unspecified,"","",,,,,,,S104851409,"",,,,,Drepanis coccinea,iiwi,Species,31599,,4.96,409,,1957,2936
371987231,Photo,Channel-billed Cuckoo,Scythrops novaehollandiae,,Cary Lewis,2021-09-24,2021,9,24,803,Australia,AU-NSW-CAM,New South Wales,Campbelltown,"10t West Trail, Wedderburn, New South Wales, AU (-34.167, 150.813)",-34.1670672,150.8128608,"",,Unspecified,"","",,,,,,,S95078492,"",,,,,Scythrops novaehollandiae,chbcuc2,Species,3282,,4.94,571,,2126,3189
212604751,Photo,Pink-eared Duck,Malacorhynchus membranaceus,,JJ Harrison,2020-03-01,2020,3,1,600,Australia,AU-NSW-HAW,New South Wales,Hawkesbury,Pitt Town Lagoon,-33.5895983,150.8555031,"",,Unspecified,"","",,,,,,,S65301313,"",,,,,Malacorhynchus membranaceus,pieduc1,Species,617,,4.96,351,,2873,4311
440234181,Photo,Yellow-throated Warbler,Setophaga dominica,,Tyler Ficker,2022-04-25,2022,4,25,1520,United States,US-OH-165,Ohio,Warren,Caesar Creek SP--Nature Center,39.4854620,-84.0355182,Adult Male – 1,,Unspecified,"","",,,,,,,S108073317,"",,,,,Setophaga dominica,yetwar,Species,33631,,4.97,303,,1698,2546
343849361,Photo,Blue Grosbeak,Passerina caerulea,,Ryan Sanderson,2021-05-30,2021,5,30,637,United States,US-IN-081,Indiana,Johnson,Atterbury FWA,39.3894253,-86.0594273,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S89267771,"",,,,,Passerina caerulea,blugrb1,Species,34051,,4.95,576,"",2161,3240
